MAXTHREADS,Time (In Nanoseconds)
1,448866423
2,1242497791
3,1265282947
4,1209640942
5,1205381921
6,1203680762
7,1215181599
8,1227099916
9,1222167537
10,1231472378
11,1220529704
12,1233446976
13,1229132706
14,1204350406
15,1219115270
16,1216063481
17,1266119451
18,1231562244
19,1219247793
20,1247103735
21,1244399776
22,1235270338
23,1221320416
24,1226881915
25,1278943957
26,1265362575
27,1234731302
28,1218107414
29,1222773620
30,1219378742
31,1254028891
32,1350606114
33,1320176891
34,1297901370
35,1234380203
36,1275495525
37,1268464424
38,1279203987
39,1266129715
40,1211930162
41,1239815930
42,1238719039
43,1216462566
44,1212404167
45,1309179141
46,1263660646
47,1218933725
48,1229197608
49,1254562588
50,1244693349
51,1230223247
52,1216739679
53,1211010107
54,1270201133
55,1283377732
56,1318205342
57,1220493157
58,1221631398
59,1237916753
60,1235241089
61,1234562803
62,1240944522
63,1246954289
64,1265599076
65,1242854004
66,1286519426
67,1232438751
68,1214876309
69,1216997786
70,1233925501
71,1221910633
72,1215506156
73,1236025121
74,1277386001
75,1282473785
76,1237457097
77,1266948393
78,1227401581
79,1257976974
80,1271658010
81,1238359807
82,1256894351
83,1224777177
84,1246964157
85,1224080246
86,1240470508
87,1253625311
88,1261188842
89,1248348491
90,1226165444
91,1217901168
92,1258615675
93,1281620222
94,1248815499
95,1232024971
96,1233990370
97,1218271108
98,1236656881
99,1269009601
100,1227927300
101,1215139606
102,1250125300
103,1234815578
104,1253555378
105,1261268312
106,1225919262
107,1315870173
108,1214312751
109,1220330349
110,1307015288
111,1317503709
112,1315206822
113,1297331937
114,1295517451
115,1278505423
116,1295722901
117,1276006846
118,1259220658
119,1239608329
120,1219286103
121,1239359550
122,1233937591
123,1239533391
124,1255671021
125,1226684996
126,1219529444
127,1294656267
128,1225497761
129,1242090382
130,1232881254
131,1234179838
132,1230768204
133,1238003889
134,1235593703
135,1222874316
136,1223680549
137,1226758920
138,1215273852
139,1218574945
140,1208084210
141,1218339811
142,1245668742
143,1222544557
144,1256366880
145,1230813840
146,1223093783
147,1214384338
148,1253159647
149,1219740330
150,1223466608
151,1304108818
152,1234046590
153,1219890603
154,1229143922
155,1226580756
156,1214720072
157,1243183441
158,1291808303
159,1255204507
160,1262221400
161,1307214472
162,1206546340
163,1242309914
164,1229664383
165,1249795030
166,1222256458
167,1219297806
168,1214313352
169,1227514980
170,1236441754
171,1232181918
172,1252490996
173,1247757256
174,1224119611
175,1208897277
176,1219233528
177,1215325542
178,1305726615
179,1230695696
180,1316760792
181,1302112761
182,1271955032
183,1261403204
184,1224699688
185,1229051443
186,1215487552
187,1228343769
188,1213443709
189,1214043988
190,1230195957
191,1219761530
192,1220981261
193,1217777210
194,1228765540
195,1219201741
196,1225401846
197,1326840678
198,1247605806
199,1246514574
200,1285090393
201,1242199522
202,1225934350
203,1234208702
204,1265237406
205,1224494459
206,1242915924
207,1242013262
208,1210427844
209,1229566124
210,1225135708
211,1257510553
212,1312653511
213,1240178359
214,1261550810
215,1224433516
216,1241919004
217,1279670631
218,1240395889
219,1230596360
220,1231117171
221,1210664386
222,1304366512
223,1249153178
224,1270603537
225,1269093208
226,1231907873
227,1229607165
228,1276573986
229,1282912431
230,1324767916
231,1323049777
232,1250336594
233,1311291997
234,1251251072
235,1261164324
236,1238868593
237,1256766920
238,1227315329
239,1230461658
240,1218602857
241,1225474078
242,1221203508
243,1234913583
244,1257544820
245,1248088586
246,1250505433
247,1251886751
248,1300328527
249,1267102713
250,1237811910
251,1231496724
252,1244724408
253,1247720927
254,1228607175
255,1249175896
256,1242514857
257,1251974358
258,1298184519
259,1257622697
260,1237515133
261,1262680363
262,1259394713
263,1223455164
264,1236054888
265,1233123570
266,1221297858
267,1221248472
268,1236210505
269,1251815887
270,1230828663
271,1251050250
272,1247073445
273,1348936341
274,1285817115
275,1294850452
276,1302403130
277,1256104855
278,1295483759
279,1321756958
280,1273475176
281,1314659693
282,1262077542
283,1278596419
284,1260530061
285,1252949431
286,1260724545
287,1245700454
288,1228797064
289,1276731586
290,1229537608
291,1266609211
292,1274515689
293,1293384295
294,1231644845
295,1235093279
296,1248576582
297,1218994843
298,1237231114
299,1422229121
300,1513447707
301,1311716606
302,1466242567
303,1263017307
304,1235310588
305,1307126490
306,1486258681
307,1309080110
308,1304263548
309,1297462880
310,1442638644
311,1341585469
312,1246043465
313,1243314958
314,1438297521
315,1276840941
316,1245447819
317,1234370775
318,1216796452
319,1224533952
320,1227101705
321,1230284843
322,1336577178
323,1255113143
324,1232683633
325,1275803923
326,1311974106
327,1249730034
328,1238205093
329,1233517029
330,1238703206
331,1234551754
332,1268292954
333,1271088752
334,1345797401
