MAXTHREADS,Time (In Nanoseconds)
1,24233977
2,34468948
3,37334105
4,36697938
5,37186394
6,36609690
7,36623738
8,37434973
9,37644939
10,36579353
11,35463331
12,35585001
13,35452434
14,35583131
15,35890603
16,35916932
17,37426226
18,38535898
19,36665657
20,37166832
21,36754827
22,37043034
23,37446028
24,36584551
25,37231015
26,36882086
27,36874523
28,38168414
29,37956787
30,38941432
31,36978199
32,38316805
33,38124173
34,39253633
35,39391829
36,39017944
37,37686342
38,38032976
39,36751772
40,38624671
41,39003641
42,38930014
43,41307288
44,39102986
45,37404124
46,42413847
47,40055564
48,39472358
49,39806429
50,40516010
51,39674298
52,40212901
53,39041104
54,38208501
55,38683006
56,38889046
57,38521285
58,39610478
59,38722229
60,38460861
61,39500081
62,38791493
63,37387204
64,39085763
65,38885409
66,38105829
67,36495201
68,37353860
69,39758726
70,39459790
71,39012562
72,38185483
73,37484820
74,37957819
75,37656230
76,39357408
77,38741406
78,38661573
79,37484091
80,39170231
81,39524660
82,38668676
83,38373872
84,36930488
85,38237250
86,39911909
87,37026063
88,39632845
89,39647767
90,39969173
91,39364886
92,39241193
93,40706773
94,39879570
95,38298433
96,39217070
97,39006442
98,38554004
99,40209833
100,39241516
101,40786821
102,39986534
103,38882711
104,38579501
105,38221408
106,41058705
107,39565304
108,39149086
109,39878489
110,39598565
111,41286285
112,39955562
113,40995443
114,39139899
115,39586036
116,39848614
117,40590333
118,39712628
119,39068660
120,39587971
121,39534513
122,39941415
123,42147191
124,39240598
125,40672397
126,39409831
127,41074763
128,40146926
129,39789376
130,40842404
131,40255479
132,39377126
133,39378832
134,42312194
135,42436609
136,40991212
137,40371537
138,42010652
139,40813768
140,41339034
141,40735000
142,39676662
143,42028858
144,42177814
145,40180718
146,40806715
147,41371366
148,40506445
149,40355081
150,42131403
151,41890446
152,41480521
153,41538121
154,42816220
155,41645516
156,41709525
157,40443454
158,40913572
159,41074426
160,41172148
161,41967556
162,42261448
163,41028163
164,40846740
165,42071921
166,41702015
167,41288705
168,43656588
169,42711509
170,41659846
171,41754092
172,43630053
173,44058515
174,41281660
175,41487620
176,41557734
177,41904673
178,42394336
179,42043923
180,42748907
181,40623542
182,42717469
183,41856164
184,40985866
185,40899634
186,43380429
187,42745973
188,43247008
189,45697817
190,41466848
191,42367637
192,42433045
193,42540669
194,44174772
195,42458364
196,42882816
197,43433059
198,42524729
199,42341348
200,43553132
201,43007577
202,44541841
203,44118514
204,42745331
205,42535324
206,42895221
207,44534849
208,42457922
209,43195608
210,43582803
211,43668265
212,43143836
213,45571349
214,42082804
215,41626739
216,45449377
217,43674863
218,43275378
219,43573664
220,44830761
221,43693943
222,43253360
223,42516786
224,44096081
225,42697340
226,43363147
227,43792191
228,44017009
229,43419356
230,43837238
231,43432035
232,43241004
233,43744352
234,45943167
235,42872677
236,44039002
237,43488656
238,43353300
239,42703348
240,46238534
241,45537678
242,44227131
243,46552304
244,44145050
245,45753572
246,45552530
247,43356219
248,44639676
249,44624202
250,44053066
251,46216316
252,43690972
253,45209913
254,44460632
255,47024522
256,44654633
257,45053995
258,43939176
259,43505138
260,43465997
261,48347426
262,44562434
263,45532360
264,44578220
265,44109416
266,46518092
267,43942126
268,44318467
269,44127341
270,43506309
271,54678138
272,45936375
273,43581333
274,57241316
275,46774454
276,44009023
277,44446315
278,45548154
279,43576749
280,44741582
281,47803213
282,44258336
283,48706017
284,47435194
285,44718532
286,43865609
287,45960220
288,43874562
289,46340207
290,46179656
291,48471937
292,43580229
293,43752900
294,48213356
295,45084610
296,43931491
297,44186415
298,46198648
299,49015075
300,45368284
301,49683518
302,47211157
303,46797271
304,45755418
305,46221983
306,46109595
307,45278296
308,45636551
309,45954777
310,46212855
311,46052988
312,44967013
313,44768520
314,46259804
315,45886015
316,44102319
317,48122059
318,47119027
319,45240861
320,46759237
321,49648502
322,46754233
323,44273499
324,46026089
325,45364575
326,45919543
327,46430389
328,44015533
329,46174721
330,46313954
331,48060594
332,45829445
333,50757272
334,46212791
335,46241080
336,45884584
337,47841792
338,48169862
339,46276262
340,45819804
341,52939729
342,45795427
343,47011631
344,48188064
345,45954195
346,47876168
347,48194198
348,47218931
349,47168926
350,47371498
351,50939584
352,45961578
353,46741200
354,49125249
355,46976447
356,46643611
357,47218473
