Workload Size (i*j*k),Waiting Time in Nanoseconds
113772336,711689337
667120227,2372032242
40489100,398461267
108830400,971555373
205093746,1175381408
2068424,73616328
349134680,1381319947
143175492,672938664
588193125,1809562045
149041440,730447117
27549240,310315633
39198720,381484371
1269135,41734333
28268688,316553764
7426720,95082678
7148250,93787009
13982670,217302934
600320,62507864
1654824,64512939
2381190,53208580
2751320,46458204
802620,63490441
38855124,380500476
8672928,106741879
1923696,69114595
1404144,34115315
701100,27294451
3241224,78211795
47018685,409605688
29336320,354454721
56848610,173049544
3127680,48570311
21337866,248145868
3237082,96647908
5640152,103357777
4966500,70146169
5017023,79602491
16402848,190465168
22163490,262836278
177072,21595606
15042720,186218749
8349600,218084626
34709784,365563686
28219464,336529501
2818800,46224975
70337784,466098961
441408,26085739
5292882,73693344
61906296,459244368
8960,10198407
52117560,427889576
6775144,98810285
26890110,350284612
22444092,307823675
9634060,141137737
763308,63356560
7454160,95082427
20865368,244638616
760320,30696430
49572,6598496
16739814,195188226
27487300,190329079
13345500,194840507
1498500,34797897
6762960,129215356
234612,23956446
5464010,77365769
16313080,189588309
42199168,394597821
28242864,319259333
41170176,394483813
16907265,206357573
7126218,107603567
79547248,513938252
3554824,57118412
64828440,472682823
18612792,230423662
831328,76573116
180960,34032289
24262145,272993598
686280,27213396
10513500,130521873
1365015,36160013
1120836,26637740
12807900,154422023
352728,29516260
26405750,312469620
384615,38780751
33821580,373413248
2363904,136466515
2448936,39819671
937440,32903308
23499844,264373006
57237840,465352140
815490,31786386
1512324,32003671
35298560,373632258
7814100,103186273
2190,5626868
1353492,43247339
7158750,93836896
23462784,273295064
11903472,144618187
97636,14790026
3524196,66978154
28474992,371241227
12246080,156020216
10680246,152859318
23390640,296400106
2708328,44390100
2828379,60317848
22469832,265032136
2562168,51103126
45220,48985328
3061664,87434701
37355197,404101460
3716280,76261641
29614368,329251699
9564588,121967363
2494812,96988177
134142,47718735
9389466,125215469
1592640,57999001
40403615,431281410
1538976,34123655
14138397,179279479
23907984,290502512
3146400,65789791
22290436,256038737
889428,32971865
2109168,72345901
2818512,49994845
7663395,127713987
13300560,165161543
4961740,103342322
6138715,132099235
10735484,137259248
3167208,55774829
23868396,268770287
9553558,124377902
6964248,104509264
32462010,257997295
52764691,439298964
10240734,142109837
2116632,73551171
42259712,399448940
9674852,137367655
9204000,119255034
7627116,99087582
6905712,192307358
28156112,340534189
3316761,78674538
673920,83072653
10881900,138855552
1349856,32974086
51896790,449551493
1701000,34902910
38328276,385472747
10826280,146799160
10494270,198897184
7603800,125516840
1998360,40967320
284900,38783755
13859100,215594576
18453861,218497970
2368548,61253401
27917208,314594550
371712,24974694
3091704,72242488
15907716,218879611
53578360,432657923
27825730,336700641
23860656,283459952
33591915,354755524
1864200,38589205
1189875,55707281
18713352,219968677
28314,23695900
34005592,387872112
30725478,365112356
27304510,393227471
568260,95499987
23474304,259796651
1358880,84957313
1977300,38815685
28666645,406304397
1663369,31952243
11021120,140384176
17543848,210184753
3272256,124729352
31521408,360529835
34106424,374261367
59131800,437639009
8289132,107774961
22302720,273945705
23002848,254093562
16699560,197626006
44377632,408314184
7518555,109068420
11609445,181166530
18434850,212743249
53320860,429681470
4502820,172688338
8878400,129841374
530916,40748307
8082945,157808579
75227152,505746198
30597105,338033290
89861184,541865315
2476584,53423937
1472378,35426902
47087892,407418137
40226420,390940249
9292296,152506452
5273100,80630168
20952000,245182540
738820,26508568
1960920,41804869
30781440,341719464
1911954,63708324
17858925,240942197
9806076,145651982
55684370,460880116
17669106,198857956
3283308,62378205
880803,28256137
18497512,231595641
1796850,58181009
981360,25130146
19020960,212362405
18162264,207402451
3473330,57953277
2006697,40066200
75058060,520955561
34109465,357197665
2893814,53536715
9949800,121089087
7129650,99135234
17732250,211684670
15811488,183231511
8052660,145999336
1292922,60965536
13047300,165085980
11627000,164035308
100294200,562642714
2814736,65984523
4451790,64380872
1715472,42014111
12627552,169336035
3451840,49253426
32884800,365031131
561444,41244038
1793099,37478670
7711620,132661846
13254228,189772311
25593000,280528708
15097050,190830973
3098928,168162970
4697728,65099829
26117940,292505121
26461400,367683837
47266560,445461627
42555760,381636748
5472236,75252432
689966,28465797
20575030,254262265
333822,18161354
10215540,138864723
15817956,198966272
44390892,389282365
30305352,341297790
4867800,68230874
5004648,86396106
15696540,228878384
24476921,271435958
7010400,94415927
30525033,335333675
2234726,65646587
62500500,490967843
11074404,136216327
34219536,365663857
200564,12536031
26236224,300639923
4591498,72235424
1830150,42144249
1963500,36331043
17789760,214623407
3563200,103481144
315234,60884417
33635520,387287140
58201260,445470910
3110448,76197906
212480,13516250
18976896,259190158
7787820,98836064
3388840,109307558
566820,30641001
8132000,122240175
5762184,96349805
23936496,271742523
16252412,195212947
3037320,50662545
8617980,175345596
7754052,141416981
1106950,30735832
44343750,431077890
287264,39691181
74591748,529364396
232750,20377423
17962182,235087204
19404,13846080
5279904,76044622
1275833,39633202
13536422,225938824
12222210,196713419
26814188,307663371
9764268,122566661
15636192,207304814
29779776,340158251
8266125,107023973
11559900,185440340
10958976,134352170
1562160,33883370
10062,11390747
10010000,123541944
2534862,94382536
277200,19463525
3517850,58850221
1960000,37307527
22827336,320990919
21769440,252953366
2258036,37132447
6136128,95493560
10138590,207644356
9624750,119760264
77915808,501211622
9426128,150178319
80441592,517491787
6227170,89912376
34778601,369502185
811188,31300430
42604992,392797922
21940992,259895931
40936320,389951771
5475648,89375414
16801605,188713637
5691184,77031735
27695220,311524627
16052892,267001847
35929760,375079466
30662064,343749915
35873376,400944744
1414875,30721263
5829912,108901263
27377055,392603441
18657240,217107063
3415776,98684617
33883740,363668564
9325792,127438029
12580080,175512023
36492460,416203516
445842,19374011
3754968,58102312
2076165,44195116
9084128,113756163
182854,51213311
852000,35159643
17532900,201037152
7326280,110326104
87100,18084830
18365283,208939668
8056000,147423532
1291050,37322065
4820472,78384863
4909005,107987186
