Workload Size (i*j*k),Turnaround Time in Nanoseconds
234729936,59682820
239607327,51438257
135480276,35298091
240811012,70696938
28909760,44368931
20552490,16726922
182817592,72177277
15283296,29163926
87089760,47898436
12258496,18604951
7898240,10369778
23318880,14537071
171621072,50087706
157288500,72688845
116878336,45867017
98193634,20783650
467885,8555329
656656,4183352
106588180,56184947
174031830,73716296
145936242,56293937
20879100,12532288
17279100,20789983
6151005,8362183
93267828,29054083
74029592,27209839
12761274,8324515
96909384,41693796
3292510,26920410
282086230,74271471
33614834,33389163
440756568,105138798
20449429,22992200
20322225,35481369
6392064,8269280
124468158,31322996
19988265,27361344
10444816,12702782
59765700,35452677
342197190,90093733
39615000,29193230
19585020,18778796
10762482,22642968
54985700,33438207
266940072,51478943
46114200,20909340
6127576,43826966
103011480,41749581
2900300,6247823
1880088,10291694
303981288,94469372
5812560,14651063
11375091,10463169
34691112,33291002
545594280,114441953
87406605,94498674
40081275,35388325
158386800,69097208
313189674,94153974
20638170,18697299
489646080,110435210
72421440,60478900
344777040,106010049
5475470,27114977
5360940,6175125
137419164,66960229
177021936,58569498
100104000,64734769
7001500,14403337
94048290,56172142
67396017,27079152
9665970,8304941
12309232,18661215
1805040,4163224
46749729,43429869
165457944,73306542
929376,4218074
129363248,77373926
272220416,91792070
36654800,37530798
20356380,18622093
300156160,87828266
88000770,60805161
218748843,79218679
208328120,41135242
300499884,91956957
81853653,54200712
343234076,89704400
153518160,60501174
80161536,56502149
8684064,6275183
111597336,52099145
49771260,29177229
238077840,78609662
272615196,111098052
36536400,20683593
99571788,35577374
47555800,14581111
8530456,8524511
10226720,10438472
24326190,27003294
29848498,14567448
238375252,58359368
49347144,14567007
504057825,118835162
284487000,84729762
48237338,41754590
933330,10550404
45705792,64484404
17478390,16711929
338817600,99993464
8801055,14522267
35476875,49604304
26941464,12577322
216670194,77177536
33262650,35403985
70963340,58532272
143190936,78993851
269069094,68771349
484901250,119924621
58252100,60034655
3905564,8332978
43526340,72712513
6454224,16673641
451031955,90897177
73900215,52264652
55259050,25044003
40876120,16642070
83057220,47977711
281679980,91940906
41654784,37574573
25672856,24980355
163167060,50041256
143307956,53732937
3415320,52170351
8908928,6177454
46933192,73383305
147186936,60112417
46673595,37632292
41372032,27050900
111293336,49838131
58838374,20777253
103984716,29070952
25796030,14641349
366199008,101854061
172527264,47891050
20053962,24857947
136063750,52059442
469173600,97953750
138226232,29224594
284805440,91215963
18549960,10329381
169555100,50029903
63443604,43640922
418297920,100098840
262830336,109756017
12660300,8341947
45837440,27114581
242927586,72750013
4167450,10423926
32981760,16529630
253856136,64619306
49394876,33265122
313657446,76619876
15755520,18669954
4171041,16546642
211027854,72666873
138004485,60809266
23545080,16642716
35292710,33397428
4364199,14559719
63090944,22950778
176612960,56388589
158134875,35441291
117580440,37465820
45564012,27025595
38940354,14626608
99466056,31394523
49067655,23058530
75200163,22763444
10198976,12479374
167044164,85108901
32359584,45994254
154403250,50196923
62599680,43867979
125682326,52219086
156211632,64641437
118835200,26995265
169473660,56299586
210944,2060312
58239246,18806549
6413652,18742168
30943431,12478436
95451615,24889159
8372920,6272214
96391565,47887894
139728644,47864019
28296110,22861407
15807924,33518431
8126300,8323759
47154624,22953572
69892200,28798004
152480205,39707331
403151580,87636214
34868976,66798111
65132384,29195623
35967009,35438813
81643054,52043219
103416912,49295152
170954630,75083647
12384,2061316
13241606,12504711
94487232,29234898
220101747,56242442
91415961,29228111
169708266,54016631
3055795,6236198
83642670,31264435
170852850,60425483
8488804,10409282
65890860,18536233
90838272,33322684
77102480,29162304
90605088,58300441
575652,4183467
30264696,10308617
1445976,4220840
36702592,27120990
213795400,64563279
14274519,22695899
48144000,20708773
219761728,52076638
49408656,18530680
32986800,61582258
36954936,37534798
36568896,14384502
47778731,56347241
14446740,45833152
99753318,56115720
1729380,6265498
13770778,8248634
253138600,64224620
203232645,99991697
4530816,8300044
26705798,33375607
364883200,72550425
69968448,33342335
1470300,6166633
249023000,59568928
97662510,35416659
20181798,28763550
110141238,31360012
139954646,49911887
280999488,81227989
115184498,58382272
65992980,50081197
237706560,60579147
734166720,118878443
73717056,37552961
74799336,26926412
43277520,26963700
98250000,39690437
105592200,54161251
7683975,18667008
27154440,18770355
77842128,56299984
59652072,29132673
2855650,45931574
446072,2057573
167316000,75140956
4622400,6281451
610475950,165027572
123252220,31120472
257756256,54137646
47340880,29108875
84755160,27181949
17151750,45343939
286866580,68531126
186446274,85663829
30814760,22711260
232945020,74363098
88947408,44155677
162135480,43565403
112080150,54411402
28438010,22995114
1405152,8369149
352973264,74483242
16383840,16668278
30466044,28880062
39129831,18737447
115222660,60301584
94686522,37457730
16071220,10455875
63694890,22956791
101510500,24842570
13109040,10489366
16703040,22988309
43411200,39575041
38035872,14578707
22366250,22979719
26469504,18770582
117198918,31216070
17070816,8268136
36223500,14416291
1966888,27240640
4562529,6240364
585696584,103601181
69584398,41572719
13253760,18801385
18926270,8329344
376068220,77120142
411990950,103860275
329365700,91276560
10031769,8262794
59389880,75109019
142391130,43865682
27527500,54271454
12165472,20605880
2324640,4132003
17574000,51979388
199656700,79351936
138354832,41253485
14129640,18666457
21142060,25034900
3157614,18571868
379101870,99179747
11519200,30937651
40629432,16547289
32776425,18763072
202582672,62414268
5042508,8348237
38054772,22984683
126348224,49870883
2491470,8402848
4301440,10425774
10000096,8313184
6225927,6245061
4545464,12514112
143120340,47617153
1207680,6271436
230675510,75165260
2114816,12477714
213689540,73162575
59931914,22892161
386255520,85417884
13667216,10418417
180958080,49905350
950208,4145970
24198096,10420870
1724470,12563354
96021458,31320495
1395900,4146751
72596048,77101668
25985520,12513947
179246536,50008565
3956230,6236664
18811170,29211552
7190352,18752073
83164994,47994690
21034512,10490930
382019260,106460199
16507904,18785143
25210404,16466626
1990272,25024518
335610300,134030492
76795392,22955041
93409375,35565240
192952809,79449746
287095776,91879276
11850975,27184889
241238034,82601968
131373136,37551160
194383476,68906554
17863440,29309080
269723520,79285325
76653688,25013055
348317120,64590436
966000,8392060
81476240,60450813
249712099,79214906
616776930,165016047
17744832,8263723
63673164,18767689
62140032,29278609
109266146,39637601
29112840,31249273
176751315,58295056
69242868,43799475
720555200,129387456
80685332,39734882
97230588,29121047
27216000,14622183
345564750,102318942
124342400,39556206
3361644,6259939
4004400,6240472
250140078,73015895
23931380,18721867
95822829,29074887
19951104,25100583
69037560,39679952
360706176,77240791
190586880,66494051
172738761,70955741
38521320,39679822
251913984,64623444
52658918,64648654
31797414,22986685
60318880,69881359
38827774,33458097
36578496,22946445
655949376,154831161
213121554,66820234
71715028,45889168
194550174,60585069
90433172,47986921
836070,6209240
41179410,14444594
14416770,14840900
145230624,47874872
49606272,22987294
183418392,76873577
10462221,18822898
388837736,95386692
1662822,6276280
312344960,68190862
63042705,31277178
7948095,6242080
673794390,145940616
91901770,24952295
238351680,64203538
31214040,14524385
188085216,60561655
1955124,10415562
136574592,54139183
18533683,10355311
467929152,84555289
25186336,14420063
185040450,125404123
3167100,14679352
225696240,54243179
39665754,12509647
14113440,26966422
11076912,33305867
80926560,58396540
86486595,48441076
161844192,60789079
105531111,33475798
639159462,152430972
120649590,71076251
87870203,41978670
52339200,37469714
156294684,77141113
12730368,8323699
126332932,45904856
17504838,22856511
430001901,121154945
8253960,10563881
293436,6275933
288556266,105570096
239651856,53581865
10277946,1854
238246008,2083295
83826560,45874413
1963650,8298159
176863086,70880191
526580,55983598
47723229,20796636
91601601,43667741
355054588,72877199
3837240,8247735
44423010,27093705
77741775,54716514
19523106,75742866
8906640,12410192
12615264,8267177
135646320,48361851
88105000,48323199
48017268,37506908
16280,2093582
610731630,115062085
179974080,58458813
264545904,79351659
19520514,14478283
75962080,39566991
185700684,62441150
4383504,12501826
3746250,6303934
126756864,57712342
142401600,52100336
36171036,33149846
4946472,6280793
395199000,72895068
95584320,33334687
8761480,24973869
46006688,52156225
102250240,41719389
37415664,35046213
106258292,49422107
2433431,29297110
8426156,6251768
15207588,25000410
177423288,58192404
222760125,66510178
2154019,14609827
123150720,39594339
6990896,8334839
8898240,22928356
25587720,24997870
52297210,29203447
17285700,12581832
90541200,27160108
8166240,8346480
7832204,12376419
81465928,41820221
75793240,35501022
45462140,29163709
344590246,75171068
7154244,35396160
98122752,43803412
296805960,70988900
975660,4116112
267496236,77147130
2782000,14661721
63335976,22915003
101704659,43757864
4559886,8260658
338141594,129684204
276713064,74789096
96842880,54234094
277429312,64587932
68338440,79271900
391960,39499298
9550560,8307993
149687620,48258057
39564928,56264433
51310866,41683026
34418880,18730539
15051750,10455400
41250536,20750385
429575289,65988952
348642816,93694750
263792200,77169938
187255992,60156476
16269050,39661807
25385228,25080480
1698764,37612779
67650968,39584001
17638008,49659631
61810266,31221736
231449580,60409820
11107000,31208611
12361920,10423217
611321802,120718854
51445760,29288660
24429678,37563921
1783026,8327872
108680544,39646057
72921636,29250196
109290779,50068604
75028128,47953683
42866180,37517232
22311198,14559555
205844100,43789016
148769698,35430521
467457354,99796317
22691374,16656559
13892466,16689115
405149850,88859757
15207500,20567708
8458380,10442819
201206208,58358031
207286544,60393723
16380,2093430
10544544,20840276
401030784,89710331
12285882,8333498
54825776,43813197
32256000,31365033
1485846,4161316
108683443,27136182
21561960,64820802
287773080,83518298
349852448,83001062
95095000,31010885
74122290,27173282
167145090,39601747
119286720,72910742
486692500,85427468
375768000,64678221
3114696,6174081
16729698,16695904
65838420,29142699
11787600,8330532
9335945,8297618
698939144,124811858
3913130,10431014
167850144,66500216
259502628,77237287
29020680,18703490
183000300,49940944
318765,4122627
100166144,49864350
9070512,10423671
2743314,8363683
10481000,8313678
250035540,59778230
16570869,33025226
106986166,58433915
38215737,14579603
135642000,50012758
521122500,116578196
247346880,86847757
92591296,52161643
8580495,14624711
201824766,78417429
28279104,23000241
2442440,6316077
234011600,72936996
67817160,23000053
34707150,25043633
32787712,22927813
8606010,10325981
19568088,24939664
74947950,20858652
233338370,57770887
124611570,56178037
22635840,45887991
226326100,64748452
75124608,47964591
40186368,27104406
54478072,33347841
205610140,79330902
78191568,33018057
42939000,35468677
170190720,58405744
2963520,10431079
12421204,20914531
189480060,86608895
15558400,27241461
20090000,39373602
85087460,83479532
178751865,66651169
41874144,68784916
185684796,62600562
1975848,16668442
72738840,64834071
260582080,52077333
165350820,60457692
201790615,90861927
68774544,39640825
181873952,85695854
288657600,76562944
50778000,37452957
943598,4160718
25664688,47830687
159270320,50050438
426240,4190124
46686640,14620592
20498920,81348520
188650980,50036333
35087040,47970461
107951300,43839029
94876218,33308661
39375820,12543137
11758146,8365815
17095680,12474559
447737745,100105187
181090754,60457744
154659780,63830052
586714180,106142111
314416193,52141033
166994150,52068323
3827760,6268141
81216100,58431936
35216256,14557012
318849620,77165534
4462759,6244213
22778910,18797054
1344640,6237199
289318140,69995813
22837392,14551293
25958592,45845259
8423688,18660681
9174530,14533691
54150000,52025438
70888784,97996146
49855050,16745415
65045400,16681234
454293120,79138274
2268600,4169532
14250600,27193136
527756229,97849827
3150972,8303070
172207070,58321933
53837784,45818084
12110448,14575484
96734198,58336796
125610912,26870254
19027488,25024523
57095775,18682402
203581600,62478551
225036,2097622
270320288,62459564
31696938,16736915
11878233,12503223
60355584,37431435
39891530,16731574
301337260,82713098
37644560,27139235
81080370,22991183
131572679,66927231
66367125,66725320
7160576,12484476
50299616,16696397
69474240,37534758
388725876,77146611
276336896,58294608
202602030,83404590
54862548,33296136
210300318,74803939
44835840,12449439
55533352,18654138
350353850,95911219
28426965,25063941
160273836,45877129
14638242,12413215
151792167,63844572
69478872,47998263
10325000,20820868
1099800,6358672
28318500,16705440
360089136,64675653
604580000,123799975
3762900,6211898
3473338,4181430
115804728,27017943
45987410,16694514
115999884,37487970
37425024,20832473
16052664,29093614
174371625,58354487
24267600,18757142
105861108,60446191
32412282,27205170
165960792,100335438
15021936,8338786
357308052,68717930
133930368,50059340
220613120,64649198
7383684,10439009
6770250,10430618
24697695,14501776
210715857,114839722
25199232,24947915
35909440,12513547
13339480,14475835
353176408,72910760
186611040,87813722
30672600,20862571
100665600,43867201
19666520,12536670
35474190,20858240
21848740,27117465
189318136,41642482
125103600,50028174
36541710,18685026
165033960,33246544
10058880,8307441
307771968,73015670
477461988,119122833
381096576,96056997
7526716,22928121
456933831,108438456
364803192,81321976
105823368,54101816
180418232,66936665
39804600,27115358
55164870,24963586
1954839,6280709
37256148,14600641
153064821,64655922
12159900,10393532
350022750,81689571
92185587,27122775
70742700,49635956
28550784,29106314
12644940,29188826
82030949,54207231
325094796,85085644
351371466,81339180
34210752,37135243
31970046,12477515
116876340,47332464
74513088,26795017
127449000,75149691
360412375,90538487
205426480,54237745
339336900,89640163
464675400,89161658
146750110,41666342
734400000,129302028
321062,4136934
104096544,37528779
10606572,12478840
396656160,104273183
1463180,50027865
20643336,39544834
126679800,50061753
87183432,49903329
347418180,83276194
140256000,45627071
37047252,25038528
18181680,18758931
35372928,14652720
61513425,20835099
559176954,89651294
233201364,104081352
4328208,12538007
2193408,23065148
82734540,18776046
95386256,41765652
127132800,41483974
8352630,8331889
360009,10532696
269438884,60504116
33083904,18557795
266175936,81415803
5087131,14527279
20710863,20716515
315503760,66707289
58187155,27154440
206728704,77089980
243002772,53483599
77604256,58475081
147161595,68541363
69889088,20851503
493885000,96000298
1622376,16687261
128881896,45853869
2361750,4149774
264329180,70933250
50204770,39534523
92340378,25092290
58499496,37587018
5377437,14548774
38046360,16701251
4667194,6336892
127081500,58487373
16102800,8326891
358857408,100226045
15212560,12571769
378221200,87625831
26511670,31426597
93967328,35413928
192435580,39703032
39632460,33444599
145535456,64626413
77923560,33410117
23844744,16596222
9763245,54340929
32432400,14598391
192288685,41686099
353714298,77243099
49826048,37432200
144739360,47989088
46066020,49916830
62463423,56301716
76053648,27195095
107158590,47933627
354240,4253027
156186800,31082952
38779884,22974468
71329545,96143891
61401844,43809930
135720000,33382311
9247392,8358461
