I*J*K,Wait Time
113772336,706599379
667120227,2370500743
40489100,395797996
108830400,970354368
205093746,1176561625
2068424,72526689
349134680,1384030877
143175492,673283969
588193125,1804555452
149041440,741782563
27549240,312606604
39198720,379325809
1269135,40566407
28268688,319383417
7426720,97420228
7148250,92548335
13982670,219682050
600320,60801754
1654824,63381837
2381190,55465155
2751320,45328534
802620,62427314
38855124,379486088
8672928,109008231
1923696,67989694
1404144,32965812
701100,26170295
3241224,78210668
47018685,408560605
29336320,353415260
56848610,175267633
3127680,50859844
21337866,246985265
3237082,95471920
5640152,102153730
4966500,68793869
5017023,78470052
16402848,189347375
22163490,261632648
177072,20504193
15042720,185057681
8349600,216837400
34709784,363754951
28219464,336417409
2818800,48462762
70337784,472542942
441408,28375377
5292882,72578078
61906296,453909649
8960,9115817
52117560,429844208
6775144,100678917
26890110,349156201
22444092,308153829
9634060,143334123
763308,62213948
7454160,93820829
20865368,246570407
760320,29316289
49572,5507070
16739814,193490743
27487300,191825590
13345500,193798576
1498500,33799885
6762960,127981477
234612,22835998
5464010,76189211
16313080,191802914
42199168,391863736
28242864,317886831
41170176,399298238
16907265,205103531
7126218,106494490
79547248,516142726
3554824,55826938
64828440,474876570
18612792,230480866
831328,75499461
180960,33080490
24262145,277651766
686280,29626477
10513500,129454811
1365015,35140400
1120836,26210767
12807900,153454274
352728,32008450
26405750,311822206
384615,37679262
33821580,372514681
2363904,135382533
2448936,42100022
937440,35123741
23499844,266182513
57237840,463112660
815490,34082735
1512324,34308863
35298560,371554054
7814100,101788475
2190,4591884
1353492,42061167
7158750,98195525
23462784,272217989
11903472,143428056
97636,13618927
3524196,65868108
28474992,370396757
12246080,158283906
10680246,151828696
23390640,295327058
2708328,43143901
2828379,58997308
22469832,264376475
2562168,49907752
45220,47909524
3061664,89702117
37355197,402860911
3716280,75061800
29614368,327682440
9564588,121159270
2494812,99280963
134142,46508872
9389466,124201284
1592640,56721196
40403615,429852583
1538976,33034732
14138397,181341747
23907984,286867765
3146400,64646688
22290436,255060604
889428,31947852
2109168,71187783
2818512,52424182
7663395,127810547
13300560,163773186
4961740,106061412
6138715,130940913
10735484,139533077
3167208,54689301
23868396,267448565
9553558,123511988
