Workload Size (i*j*k),Waiting Time in Nanoseconds
19308800,278155788
48344175,437576772
5521200,111022915
988988,40738141
13009305,158090958
388976,23531098
770040,25723469
19755060,219735089
6687360,97532015
37080072,304451061
99928991,566545475
691200,27786269
1306620,34197487
28039992,348380336
23452520,277994099
6603714,119848514
10065825,123296428
16854786,208706116
23447970,283741204
2548432,47010273
565936,38542260
532125,34430608
74528757,493855871
58899648,453056528
20248921,290859689
53032020,451341517
90427590,532841807
26800466,314264702
31362688,354114710
17936352,288477859
69571944,479058761
1212675,32215395
7983360,121443745
9726710,174091925
15345322,194393563
75295500,494137587
132741,21472684
297395,17426901
19582500,224005692
688896,32141150
36344532,393254569
1488396,34035929
50248590,426706763
33363253,356507042
39342768,380087678
7778818,125841087
3232320,70148782
15503070,232603025
524160,19322439
34511400,347586284
6120320,95787921
8386560,106769321
37146000,382080709
34461600,405387529
37075074,379886452
52595796,445680685
972312,66469452
24296288,266047143
5644800,79159549
5038656,87809930
1376100,32110681
6438000,123875181
57681,23445834
7083450,94042086
25119312,283507893
15042510,175010902
21181950,234536140
35956000,381392635
36842,12907919
4507776,118613079
48862528,417076819
76357092,504590579
21843756,271695077
4807320,83667864
3037800,59994870
5904360,85245323
4114944,70379794
24104760,273717305
814792,27925515
30369144,361145343
10237656,155973399
2259510,45002348
17234862,200409887
20613888,247601402
23927568,266985140
2727648,125973709
7216020,134488664
4608450,70372035
7283598,94110451
10093182,131850748
1167615,30012388
2898252,47088074
3602304,59619395
529830,30309062
1279700,34303052
10681216,142476611
56837550,492923202
975624,34385453
30580055,364589243
26388928,313091132
1696663,51304662
77422345,502443267
1311912,53649740
6876288,106324451
389298,25655111
4102560,72729548
3123000,49402264
14445120,236954870
34856840,394508381
25896681,293780408
2888288,49092690
13776840,243474546
11334126,143106131
2024000,123760999
1713933,47013584
387090,32333832
4266108,66261322
80341236,506244865
269100,23858219
29078400,343720370
2867943,151261897
5964289,89840584
503094,47406358
31710848,335438612
10716650,143353396
745920,30027012
12777600,153256441
16437768,194031616
7129080,108466047
37256637,376838584
19210680,223885968
28432800,322115561
15598656,185660126
31967232,384572680
35034272,377069130
46897905,408693563
19047600,227708072
16831584,189874326
1141800,32052864
12040224,143688446
1205280,32116877
7911360,100181292
9127818,162196084
672672,23609065
24235056,304973431
6009900,104241550
36494396,373055239
64628685,468109457
8550304,107111791
20938050,239021938
2349292,141231912
455700,25576213
1704960,34112753
1596798,47016217
11451440,139294477
16010540,184656236
6074355,98091815
255636,27911134
501618,30081529
32377968,361252391
35830080,408307625
5182704,78428705
1269975,34334594
3606133,55642063
4993342,107194332
2790000,113350761
21408060,246410874
8801968,116308745
13040956,188078392
38121630,381393042
8228640,121631405
911400,32148564
153370,17209994
18231000,203276489
26916090,326748010
29328206,330743214
2584750,59687037
14757600,192202497
4617550,79171805
21828378,256225449
14922726,176907638
33075441,377972689
20457360,250175986
7582995,98090250
26310632,312253434
85526880,561870712
6747300,136673673
32762880,356033478
605880,27900136
107185,21597040
495872,32411574
4145130,76945865
30783753,331927189
373296,44885307
6742404,142879803
18504405,214971390
667998,42652036
3467640,72634298
4985600,72590839
7950800,147496613
20185764,247874121
31092876,356416065
7000400,120890205
617760,30282025
51698232,428576989
318400,21278264
20602894,237013590
61745,21596150
68663945,476790043
6364724,98153614
9938880,168298598
7013160,97358517
4278540,64276965
22482840,256242769
5062878,72874065
2103552,44918319
38294880,379375107
19607016,227911703
19653504,277766889
38027556,470831998
2956932,47124605
3431000,59900269
18628992,273457084
41030,10824103
37489075,373718177
42187925,403361743
2614860,55172953
779317,55678913
50463050,433805938
54857088,434153330
24084060,385925148
1020390,30165350
431568,32228467
2236724,49152679
16208790,183800522
4379760,74814688
13055520,211549420
8404200,115489203
405504,36489413
792792,70653132
76532225,497645191
5437510,85193289
52478272,426875759
722988,28095055
14137387,76872501
119712,15034684
6543680,91938376
19572168,279916704
16435188,221854889
243530,38333276
29187000,317481775
5590536,117494100
27374250,258119609
28133376,421885664
13970485,177364124
1976250,44957444
9760870,125988298
5134220,77050183
4601430,66263415
43662336,417323775
5374338,74800049
1909728,38486730
3624264,93376488
5875254,85737757
2830058,51275548
16493139,203431181
8140500,108908115
475616,32290357
410186,36636123
19221867,211469536
18814080,209233302
12959842,168700391
255783,25678860
66714921,470519895
15215200,189578460
16262688,187810147
12128208,155822686
9983484,145369314
291276,19239663
32828670,405506941
61057920,458505715
756000,21405881
3960370,60144471
1672992,38489592
67030338,478619985
11068200,139016008
38810322,379299211
31799996,369890337
959330,44906316
674240,23695964
34256285,362792772
18600764,209350902
832760,31757727
1163120,49443420
429,8735791
103089105,571399179
10757565,132089926
4675090,106909456
385330,19336183
18310600,217948649
2761720,46904394
26758728,341288037
3389280,51291693
2248560,47134545
18719680,259015969
5366176,89801423
257166,32178062
10856496,149499239
19875960,223188827
8508948,136241130
9089080,154140366
309120,38662561
85085434,549464040
25428160,328539644
1306856,34293328
4772012,68659568
3865978,91981386
7822335,126147434
4194900,102266187
5980940,102667259
26406744,335468053
22901940,256623707
15410304,230324891
3875887,81092481
20427264,268251467
8530124,115337222
14780556,173059448
46053447,404679611
6470100,145878483
15302448,183901401
1205640,27981276
9218264,141240623
19554990,245021113
20343268,228416540
67560108,489247974
29745300,341596456
22941360,267124462
33456500,372356197
1233960,32050476
59497270,442419303
6285708,85700019
3267285,51411799
5332999,96135595
4172432,70913267
21282690,277607454
25615440,291863898
16433274,209269193
6857460,91827792
2904720,62233050
10945620,141275211
5427240,106850927
5286222,76997398
22817172,285431656
1910656,42645926
2588880,63928806
5549048,89388417
649800,25827380
1493100,82653554
16353150,196512753
876480,23619477
5823681,87391880
68468400,474509036
730170,74734572
7034240,166604511
7280086,94312375
6127584,106830304
5492390,76527772
1613430,45072994
10811592,132138052
1556016,79064645
88740,49156154
23322,8806930
596410,40580682
1949220,51346237
35394912,376147409
8570880,112945586
165790,10424964
351624,8514391
8789814,67591151
41392512,390034282
371616,53317130
17063397,194610072
30198120,351777916
54047565,425522073
9784908,211090553
14460444,179728976
4209408,76713489
4086420,87264808
233682,14923528
1546776,32305523
27217215,299108658
17696016,222086888
82420233,521508042
8143200,117690712
53080596,437091938
2386566,95960918
86280912,534019616
1617616,42454596
753452,93963490
13569825,179614507
9652500,125772319
10591000,130612375
7563872,170447503
1118272,32003493
42210,25525400
33693660,373317847
8769726,109245496
43959744,254326423
67120629,160102817
9539250,123379529
84933800,524180573
33948096,368988921
8606250,83972268
23132143,256533980
3249768,79109231
6030028,97835623
1209978,34261130
40790316,387637360
56089476,451468211
180304,53619090
73443964,491048426
57982455,453508736
5231072,83088571
2660840,141584660
15368320,179246713
7176465,123792441
2368996,70506907
14007288,184000205
6778240,91780056
499400,34309771
5152140,100509546
4790988,68603885
3728712,83288311
2037420,68397475
4364631,72543375
2554028,53227794
10531521,181583418
3312960,68412817
2259936,47116079
10167480,153621095
70745664,506758946
28729848,321717266
14170200,218824413
25064120,301130425
21870840,260071176
3636144,81233979
2449734,42792219
10269792,168656226
57655080,441128664
38854200,385447116
1274364,48878890
3386850,68419313
35985696,380001020
25222134,290219334
15517152,224062608
3203820,70671039
4040606,62008571
8834496,119335750
25314660,290171734
37286676,407396879
8644867,109115663
29322076,328538921
40621395,415710527
34406180,370398299
18397470,270483501
2375096,53594017
13816208,161608198
40434338,409107603
8536320,106884393
138240,17182143
13548600,168144783
31710900,371083565
2147334,38484529
10527174,146013239
19922112,224947496
3309532,62013544
140864,13110436
36404736,372683183
14467680,187385758
59353236,468260864
77470224,513146438
7315308,96055426
1189440,27915309
22084608,251715894
17378955,196310988
31177575,350394039
931840,23486175
8327592,121699471
7966329,117521680
6839924,91789131
6157800,81422907
55094338,439118095
11394000,164414596
965004,27792549
30730238,348151930
4211757,77027418
519792,26115863
3982680,64361344
89324240,519923412
15808576,181525563
53777885,434465901
8672496,169591056
1996800,38615878
278208,17100010
36075270,389760871
22279899,295926043
16248960,190386695
7500675,196580320
7401294,153640881
516672,25910496
52028088,445442551
51216,15006755
6633864,166424588
12827520,182685026
41438628,411255302
45878720,404981361
4347504,64274431
2822820,47035950
4958240,182609261
853160,32083391
27370860,322481070
51746688,424125210
7104528,213883788
17200320,227772696
5882352,132322941
3858140,59790268
122344,27842634
205692,23502518
2575296,66372782
24746400,316512303
10898160,146654408
2963688,53329868
1335480,49199492
8331424,149226951
14103760,175504855
8132520,102671920
1605708,44832785
328320,46999745
21181518,258360430
32164080,366876608
3113550,78839334
63771030,482613361
36705240,385875706
30985290,337136937
2397060,51412592
235425,17160162
157320,25566628
1875015,36371219
20664020,243677019
9973950,200845379
7089408,100425782
55947375,441321875
2526912,70342701
2100735,40795667
21871920,254348003
2937097,83272762
444080,29850418
24868200,277551629
9448362,128278893
65690430,468481257
19438848,217428863
4088952,72624018
16066856,231682141
793305,34366773
5763120,83664950
4235325,98027145
5060781,89697222
19215000,239427564
2909700,47097255
17382750,248875040
4798137,98417507
30607850,330436457
11583000,168614691
3437280,55442226
41382000,385562793
62389464,458212541
11267376,137563323
2956800,51314497
4887036,83377731
2392908,128118761
37389168,385984822
23364641,291999717
1410400,34348853
3430226,160364075
6860616,91856122
21588151,241336099
17688384,198854025
51432848,430237669
4824600,117492497
10533525,130149511
3847662,59749523
25377024,283521963
9816576,136578401
77656800,506758110
247104,17085011
26311032,325780349
67006851,498692826
19581928,234525719
474810,27695225
4555980,66204012
26236560,307539045
1889979,55418035
4493880,78692563
20041002,281701746
104404392,609357763
45768777,400764474
17514900,199136555
13113576,153196090
11524800,145250920
495618,23630413
17705820,221107350
1419444,64136200
13305600,179486826
5658336,77025397
19935916,233729308
378378,19249969
9187560,125650255
7172067,108707364
2042160,42822514
16939377,194165355
6926070,89692033
35227503,369025456
12328848,149504025
7460236,108945314
3561588,76646152
1068600,32029583
7558865,100588625
4309632,99492751
71790390,483187231
16307280,229419771
77452784,509233365
49662100,415149362
4254120,72609239
70552800,476943931
18972240,276430220
3196340,51296400
28536768,313333126
31854966,378084355
7234344,107036235
1951600,40676671
78064,12853482
3699642,72444875
1695376,117680504
13477356,185900547
46360020,434871826
471744,21215031
43774101,422487826
83979,21758095
54104400,546317025
1882608,57795145
12981200,204512689
9600966,123293184
597060,23659965
17486853,38550853
3890217,70374603
61448400,455554181
6613236,121660609
7651584,97968234
69030990,481531092
33110,12809527
80250,15014937
1005480,26010292
30743625,337236016
35358544,390513857
14926730,260234804
52750764,438927187
4248192,62026525
26900808,309875379
4951134,68208203
75227250,515183478
46463760,415715671
543168,32125083
83959200,544308735
3551366,55623230
4134837,70551473
23182698,309184521
14284556,198789609
590400,34125591
118272,35910851
1021310,25719514
1961952,38436383
15809259,183305248
27424320,301364966
